Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.14% (0.70%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  8.72% (1.52%) * |  3.75% (0.70%) * |  1.36% (0.44%) * |  1.41% (0.42%) * |  0.69% (0.30%) *
audiology       |     74.77% | 62.50% (3.27%) * | 46.33% (4.13%) * | 29.23% (1.86%) * | 22.36% (1.83%) * | 22.08% (1.98%) *
autos           |     67.35% | 68.50% (7.43%)   | 46.80% (3.69%) * | 33.49% (2.41%) * | 30.17% (3.39%) * | 21.15% (3.40%) *
credit-a        |     44.49% | 20.05% (2.52%) * | 13.20% (1.46%) * | 19.70% (1.86%) * | 19.48% (1.55%) * | 18.99% (1.15%) *
hypothyroid     |      7.71% |  2.84% (0.54%) * |  1.55% (0.23%) * |  0.67% (0.04%) * |  0.80% (0.12%) * |  0.60% (0.07%) *
letter          |     96.26% | 28.79% (0.41%) * | 21.52% (0.32%) * | 16.43% (0.27%) * | 13.33% (0.14%) * | 11.77% (0.15%) *
microarray      |     50.20% | 48.77% (3.88%)   | 52.57% (3.75%)   | 50.31% (1.82%)   | 46.52% (2.21%) * | 49.15% (1.79%)  
vote            |     38.63% | 12.75% (3.03%) * |  5.82% (1.64%) * |  6.95% (0.98%) * |  3.29% (0.58%) * |  5.74% (0.54%) *
